"Publication Name","Parent Publication",URL,Owner,"Is Owner Founder",City,State,Country,"Primary Language","Primary Language Other","Tax Status (founded)","Tax Status (current)","Year Founded","Total Employees","Budget % - Editorial","Budget % - Revenue Generation","Budget % - Product/Technology","Budget % - Administration",Products,"Products Other",Distribution,"Distribution Method Other","Geographic Area","Core Editorial Strategy Characteristics","Core Editorial Strategy Characteristics Other","Coverage Topics","Coverage Topics Other","Underrepresented Communities","Underrepresented Communities not listed","Revenue Streams","Revenue Stream Other","Revenue Stream - Additional Info","Revenue Stream - Largest","Revenue Streams Largest Other","Paywall or Gateway","Paywall or Gateway Other","Advertising Products","Advertising Product Other","Real-World Impacts",Summary
"Ocracoke Observer",,https://ocracokeobserver.com,"Connie Leinbach and Peter Vankevich",No,Ocracoke,NC,"United States",English,,"For Profit",LLC,1999,2,71-80,21-30,11-20,11-20,"Originally-reported articles, Printed media",,"Print, Social media, Website",,"City/Town, County/Counties/Regional districts","Hyperlocal community comings and goings",,"Education & Schools, Entertainment & Arts, Environment, Local News, Transportation",,"Communities with English as a second language, Low-income communities",,"Direct sold advertising",,,"Direct sold advertising",,"I don't have a paywall",,"Display, Print ads",,"Ocracoke is a unique vacation destination accessible by ferry, private boats and small airplanes. It has a seasonal economy that attracts thousands of visitors with most businesses operating from mid-March to December and a permanent population of about 1,000.
Since Leinbach and Vankevich bought the paper in 2014, coverage expanded to mainland Hyde and state and federal news of interest to the island.
Vacationers who love this island, and locals, rely on the Observer for vital information.","The Ocracoke Observer community newspaper has been an integral part of the Ocracoke Island, N.C., since 1999.
Connie Leinbach and Peter Vankevich are the paper’s third owners, having purchased it in February 2014. The website is updated daily and they publish a print paper from March to December each year. It is available free for pickup on the island and selected points off the island and to paid subscribers."
"Oklahoma City Free Press",,https://freepressokc.com,"Brett Dickerson",Yes,"Oklahoma City",OK,"United States",English,,LLC,LLC,2016,1,71-80,0-10,0-10,0-10,"Originally-reported articles, Newsletters",,"Website, Social media, Third party content platforms",,City/Town,"Single-subject news, Investigative news, Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Business, Education & Schools, Entertainment & Arts, Events in coverage area, Government",,"Communities with English as a second language, Ethnic communities, Immigrant communities, LGBTQI communities, Low-income communities, People of color",,"Direct sold advertising, Reader membership, Small individual gifts",,,"Reader membership",,"I don't have a paywall",,Display,,"We have exposed disregard for open government in our local city government. We have called attention to community needs that were not known without our reporting.","Oklahoma City Free Press is dedicated to providing high-quality journalism that positively impacts our community. We give voice to those who aren’t heard and expose that which is hidden from the public."
Pasquines,,http://pasquines.us/,,Yes,Washington,DC,"United States",English,,"Under umbrella of a 501c(3)","Under umbrella of a 501c(3)",,0,0-10,0-10,81-90,0-10,"Newsletters, Originally-reported articles",,"Email, Social media, Website",,Multi-state/Multi-province,"Breaking News, Hyperlocal community comings and goings, In-depth feature and explanatory reporting, Investigative news",,"Economics, Environment, Government, Local News, Politics",,"Communities with English as a second language, Ethnic communities, People of color, Indigenous Populations, Low-income communities",,"Small individual gifts",,,"Small individual gifts",,"I don't have a paywall",,Display,,"Focusing on political, policy, economic, design, and innovation issues, we bring local issues to national attention and national affairs to local consideration. As firm believers in collaborative, open, and transparent work, we aim to serve as a reliable source and partner for media, government, and private entities. Our efforts are tenacious, innovative, and objective, to raise awareness by publishing the context of islands.","Pasquines is a nonprofit news organization, led and run by volunteers, dedicated to ending the insularity between the United States and its territories. Focusing on political, policy, economic, design, and innovation issues, we bring local issues to national attention and national affairs to local consideration."
"Planet Detroit",,https://planetdetroit.org,"Nina Ignaczak",No,Detroit,MI,"United States",English,,"Under umbrella of a 501c(3)","Under umbrella of a 501c(3)",2019,1,71-80,0-10,0-10,0-10,"Events, Newsletters, Originally-reported articles, Video",,"Social media, Website",,"City/Town, County/Counties/Regional districts","Curation and commentary, In-depth feature and explanatory reporting, Single-subject news",,Environment,,"Communities with English as a second language, Ethnic communities, Low-income communities, People of color",,"Philanthropic funding from major institutions",,,"Philanthropic funding from major institutions",,"I don't have a paywall",,"Branded content (e.g. marketing content with editorial review by the advertiser), Content Sponsorship, Display",,"We raise awareness about underreported environmental issues.","Planet Detroit is a weekly email newsletter update to help you get smarter about the environment in Detroit and Michigan.
We focus on explanatory, solutions-based, and investigative reporting, and a deep commitment to community engagement around local environmental issues.
We have a keen understanding of the issues and the attention of local activists, nonprofit and business leaders, and other local media."
PublicSource,,https://publicsource.org,"Mila Sanina",No,Pittsburgh,PA,"United States",English,,"Under umbrella of a 501c(3)","Nonprofit 501c(3) or Canadian nonprofit",2011,11-15,71-80,0-10,0-10,0-10,"Events, Newsletters, Originally-reported articles, Podcasts, Video",,"Social media, Syndicated feed or content partnerships, Website",,"City/Town, County/Counties/Regional districts","In-depth feature and explanatory reporting, Investigative news",,"Education & Schools, Environment, Government, Planning & Development, Social Justice & Inequality",,"People of color, LGBTQI communities",,"Foundation funding, Philanthropic funding from major institutions",,,"Foundation funding",,"I don't have a paywall",,"Content Sponsorship, Display",,"Changing policies, public participation, connections, relationships.","PublicSource is the only nonprofit digital-first news organization that lives up to its mission of delivering public-service reporting and analysis in the Pittsburgh region. We are local. We believe in journalism as a public service. We tell stories for a better Pittsburgh."
"Queens County Politics","Never Sink Media",https://www.queenscountypolitics.com,"Stephen Witt",Yes,"New York",NY,"United States",English,,LLC,LLC,2017,3-5,41-50,11-20,21-30,21-30,"Newsletters, Originally-reported articles, Podcasts, Social media-only content, Video",,"Social media, Third party content platforms, Website",,"Neighborhood(s), City/Town, County/Counties/Regional districts, State/Province, Multi-state/Multi-province","Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting, Investigative news, Single-subject news",,"Business, Government, Health & Medicine, Immigration, Politics",,"Ethnic communities, Immigrant communities, LGBTQI communities, Low-income communities, People of color",,"Direct sold advertising",,,"Direct sold advertising",,"I don't have a paywall",,"Content Sponsorship, Display",,,
"Racine County Eye",,https://racinecountyeye.com,"Denise Lockwood",No,Racine,WI,"United States",English,,LLC,LLC,2013,3-5,71-80,0-10,0-10,0-10,"Originally-reported articles, Newsletters, Social media-only content, Events",,"Website, Social media",,"County/Counties/Regional districts","Investigative news, Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,,,"Low-income communities, People of color",,"Direct sold advertising, Programmatic advertising, Small individual gifts, Events",,,"Programmatic advertising",,"I don't have a paywall",,"Display, Content Sponsorship, Branded content (e.g. marketing content with editorial review by the advertiser)",,"Racine County Eye has covered racial disparities in the prison system, mental health access issues, and uncovered health issues around the We Energies Oak Creek Power Plant. We've also done deep dive stories around employment and CovId-19.","Timely and up-to-date news for residents of Eastern Racine County."
"RANGE Media",,https://www.rangemedia.co/,,No,"Spokane, WA 99201",,"United States",English,,LLC,LLC,2020,0,81-90,0-10,0-10,0-10,"Newsletters, Originally-reported articles, Podcasts",,Email,,"City/Town, County/Counties/Regional districts","Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Crime & Justice, Culture, Housing, Politics, Social Justice & Inequality",,"People of color, Indigenous Populations, LGBTQI communities, Low-income communities",,"Reader membership, Small individual gifts",,,"Reader membership",,"I don't have a paywall",,"I don’t sell any advertising products.",,"We're still young but we have shined a light on significant inequities in our criminal legal system, housing policy and healthcare system. Our technique of providing concrete action items for readers/listeners wherever possible has generated significant community engagement in processes that tend to fly under the radar.","A Spokane-based media organization for people who love the Inland Northwest and want to make it better.
 "
"Roosevelt Islander Online",,http://rooseveltislander.blogspot.com,,Yes,"Roosevelt Island",NY,"United States",English,,"Sole Proprietor/no specific tax status","Sole Proprietor/no specific tax status",2007,,,,,,"Newsletters, Originally-reported articles, Video",,"Email, Social media, Website",,Neighborhood(s),"Breaking News, Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Events in coverage area, Local News, Local Profiles",,"People of color, Low-income communities",,,,,,,,,,,,"The Purpose of this Blog is to provide accurate and timely information about Roosevelt Island as well as a forum for residents to express opinions and engage in a dialogue to improve our community."
"Route 40",,https://rtforty.com,"Elinor Comlay, Bill Sprouse",Yes,"Atlantic City",NJ,"United States",English,,LLC,LLC,2016,0,81-90,0-10,0-10,11-20,"Originally-reported articles, Video, Podcasts, Newsletters, Social media-only content, Events",,"Website, Owned and operated mobile app(s), Social media, Third party content platforms",,"City/Town, County/Counties/Regional districts","Investigative news, Curation and commentary, In-depth feature and explanatory reporting",,"Business, Corruption, Education & Schools, Environment, Government, Immigration, Planning & Development, Social Justice & Inequality",,"Communities with English as a second language, Immigrant communities",,"Reader membership, Small individual gifts, Major individual gifts, Philanthropic funding from major institutions",,,"Philanthropic funding from major institutions",,"I don't have a paywall",,Email,,"Most of our inpact boils down to quality-of-life improvements made by city/county officials once we draw attention to, for example, a vacant lot that is full of used syringes or trash.","Route 40 is a web-based local journalism startup covering South Jersey, with a particular emphasis on fresh reporting on Atlantic City and its surrounding towns."
"Sahan Journal",,https://sahanjournal.com,,No,"Saint Paul",MN,"United States",English,,"Nonprofit 501c(3) or Canadian nonprofit","Nonprofit 501c(3) or Canadian nonprofit",2019,6-10,61-70,0-10,0-10,0-10,"Newsletters, Originally-reported articles",,"Social media, Syndicated feed or content partnerships, Third party content platforms, Website",,State/Province,"Hyperlocal community comings and goings",,"Business, Education & Schools, Immigration, Race & Ethnicity, Social Justice & Inequality",,"Communities with English as a second language, Ethnic communities, Immigrant communities, Low-income communities, People of color",,"Philanthropic funding from major institutions",,,"Philanthropic funding from major institutions",,"I don't have a paywall",,Display,,,
Scalawag,,https://www.scalawagmagazine.org,"Cierra Hinton",No,Durham,NC,"United States",English,,"Nonprofit 501c(3) or Canadian nonprofit","Nonprofit 501c(3) or Canadian nonprofit",2014,1,11-20,0-10,21-30,0-10,"Events, Newsletters, Originally-reported articles, Printed media",,"Social media, Website",,"State/Province, Multi-state/Multi-province","Curation and commentary, In-depth feature and explanatory reporting, Investigative news",,"Crime & Justice, Entertainment & Arts, Environment, Events in coverage area, Gender Identity, Government, Health & Medicine, Immigration, Planning & Development, Politics, Race & Ethnicity, Social Justice & Inequality",,"Ethnic communities, Immigrant communities, LGBTQI communities, Low-income communities, People of color",,"Foundation funding, Major individual gifts, Philanthropic funding from major institutions",,,"Philanthropic funding from major institutions",,"I don't have a paywall",,,,"We seek to: Fascilitate a narrative shift around what is happening in the South, who holds power, and what communities are doing to fight back. Create space for like minded people to come together and celebrate and learn and organize. Uplift the work of Southern organizers. Raise awareness of issues and sharing strategies for progress across communities.",
"Shasta Scout",,https://shastascout.org/,,Yes,"Redding, CA 96003",CA,"United States",English,,"Sole Proprietor/no specific tax status","Not for Profit",2020,1,31-40,11-20,11-20,31-40,"Originally-reported articles",,"Email, Website",,"City/Town, County/Counties/Regional districts","Breaking News, Curation and commentary, Hyperlocal community comings and goings",,"Crime & Justice, Government, Local News, Public Policy, Social Justice & Inequality",,"Indigenous Populations, LGBTQI communities, Low-income communities",,Grants,,,Grants,,,,"I don’t sell any advertising products.",,,"Shasta Scout is an independent, hyperlocal, not-for-profit, emerging digital news media organization focused on increasing access to diverse and inclusive news in California's North State. We are committed to a participatory journalism model that encourages stories by the people, for the people, and that welcomes diverse voices to help shape the coverage our newsroom provides. We believe local independent participatory media builds stronger community connections, and drives healthier community decisions.
 "
Shoresides,"Working Narratives",https://shoresides.org,,No,Wilmington,NC,"United States",English,,"Under umbrella of a 501c(3)","Under umbrella of a 501c(3)",2020,3-5,31-40,0-10,0-10,31-40,"Newsletters, Podcasts, Video",,"Email, Podcast, Social media, Website",,"County/Counties/Regional districts","Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Culture, Entertainment & Arts, Environment, Local News, Social Justice & Inequality",,"People of color, Indigenous Populations, Low-income communities",,Grants,,,Grants,,"I don't have a paywall",,"I don’t sell any advertising products.",,"We highlight issues that aren't covered in mainstream media by including fresh takes on stories that've already been told and turning the mic over to communities of color and poor white communities to tell stories that haven't been told at all. The result is greater attention to topics that haven't received attention, such as hurricane survivors' long term barriers to recovery and felony voter disenfranchisement. At the same time, communities report feeling a greater sense of self-determination when they have a say in the narrative.
 ","Shoresides is a regional news site that uses podcasts and videos to tell stories from rural coastal North Carolina. In our podcasts and short documentaries, we cover everything local issues across the coastal region - from rural arts to environmental justice issues to fishing and hot topics for teens.
 "
Southerly,,https://southerlymag.org,"Lyndsey Gilpin",Yes,,,"United States",English,,LLC,"Under umbrella of a 501c(3)",2018,0,71-80,0-10,0-10,11-20,"Originally-reported articles, Newsletters",,"Website, Syndicated feed or content partnerships",,Multi-state/Multi-province,"Investigative news, In-depth feature and explanatory reporting",,"Environment, Energy, Social Justice & Inequality",,"Low-income communities, People of color",,"Foundation funding, Major individual gifts",,,"Small individual gifts",,"I don't have a paywall",,"I don’t sell any advertising products.",,"Through our partnerships with local media across the South, our reporting has helped inform a civil lawsuit in Alabama, and provided content for community newspapers in rural communities in Kentucky and Virginia. We also host events that clearly engage community organizers and other community members, connect them with one another, and offer story ideas to reporters in the area.","Southerly is an independent, non-profit media organization that covers the intersection of ecology, justice, and culture in the American South. Through in-depth journalism and engagement in the communities we cover, we explore and analyze the relationship between Southern communities and their natural environments."
SpokaneFāVS,,https://spokanefavs.com,"Tracy Simmons",No,Spokane,WA,"United States",English,,LLC,"Nonprofit 501c(3) or Canadian nonprofit",2012,0,41-50,0-10,11-20,11-20,"Events, Newsletters, Originally-reported articles, Podcasts, Social media-only content",,"Social media, Syndicated feed or content partnerships, Third party content platforms, Website",,"City/Town, County/Counties/Regional districts","Hyperlocal community comings and goings, Single-subject news",,Religion,,"Ethnic communities, Immigrant communities, LGBTQI communities, People of color",,"Direct sold advertising, Events, Grants, Reader membership, Small individual gifts",,,Grants,"Community center","I don't have a paywall",,"Content Sponsorship, Display",,"We have created community, education, religious literacy, filled news void","SpokaneFāVS provides non-sectarian coverage of religion, spirituality and ethics in the Inland Northwest. We promote dialogue through online journalism and community engagement opportunities."
"TAPinto Paterson",TAPinto,https://tapintopaterson.net,"Steve Lenox",No,Paterson,NJ,"United States",English,,LLC,LLC,2017,1,41-50,11-20,0-10,11-20,"Originally-reported articles",,"Website, Social media",,City/Town,"Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Business, Crime & Justice, Education & Schools, Events in coverage area, Government",,"Communities with English as a second language, Ethnic communities, Immigrant communities, Low-income communities, People of color",,"Direct sold advertising",,,"Direct sold advertising",,"I don't have a paywall",,"Display, Content Sponsorship, Branded content (e.g. marketing content with editorial review by the advertiser), Video",,"Readers have found jobs through our coverage, non-profits have obtained funding, businesses have gained customers, residents have become better informed.","TAPinto Paterson is an all-online, objective, newspaper serving the residents, organizations, and business owners of Paterson, New Jersey."
"The Belmontonian",,https://belmontonian.com,"Franklin B. Tucker",No,Belmont,MA,"United States",English,,"Sole Proprietor/no specific tax status","Sole Proprietor/no specific tax status",2014,1,41-50,0-10,31-40,0-10,"Originally-reported articles, Video",,"Website, Social media, Third party content platforms",,City/Town,"Hyperlocal community comings and goings",,"Education & Schools, Events in coverage area, Government, Planning & Development, Sports & Recreation",,"Ethnic communities",,"Direct sold advertising",,,"Direct sold advertising",,,,"Display, Content Sponsorship",,,"The Belmontonian is an online media source focusing on all things in the “Town of Homes”: from breaking news to home sales, what’s happening in the town’s highly-regarded schools, community events and sports."
"The Coronado Times",,https://coronadotimes.com,"Steve Johnson",Yes,Coronado,CA,"United States",English,,"Sole Proprietor/no specific tax status",LLC,2002,3-5,41-50,0-10,11-20,11-20,"Newsletters, Originally-reported articles, Video",,"Email, Social media, Syndicated feed or content partnerships, Third party content platforms, Website",,"Neighborhood(s), City/Town","Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Business, Education & Schools, Entertainment & Arts, Food, Government",,"People of color","Military and Veterans","Direct sold advertising",,,"Direct sold advertising",,,,"Content Sponsorship, Display",,"We have sped up the turnaround for reporting on Coronado news. There is a printed paper that is put on driveways on Wednesdays, but we publish online daily.","The Coronado Times (published by eCoronado) is an independent online news publication. Our mission is to be fair and accurate in our coverage of Coronado, CA."
"The Highlands Current",,https://highlandscurrent.org,"Highlands Current Inc.",No,"Cold Spring",NY,"United States",English,,"Sole Proprietor/no specific tax status","Nonprofit 501c(3) or Canadian nonprofit",2010,3-5,61-70,0-10,0-10,0-10,"Originally-reported articles, Newsletters, Printed media",,"Website, Social media, Third party content platforms",,"City/Town, County/Counties/Regional districts","Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Crime & Justice, Entertainment & Arts, Planning & Development, Politics, Sports & Recreation",,"Communities with English as a second language, People of color",,"Direct sold advertising, Reader membership, Major individual gifts",,,"Major individual gifts",,"I don't have a paywall",,"Display, Print ads",,,"Highlands Current Inc. is a New York State not-for-profit corporation begun in 2010 as Philipstown.Info, Inc., to provide balanced reporting of the news and events of the Hudson Valley communities of Cold Spring, Garrison, Nelsonville, Philipstown and Beacon."
"The Ithaca Voice",,https://ithacavoice.com,"Non Profit",No,Ithica,NY,"United States",English,,"Nonprofit 501c(3) or Canadian nonprofit","Nonprofit 501c(3) or Canadian nonprofit",2014,3-5,51-60,11-20,0-10,0-10,"Originally-reported articles, Video, Newsletters, Social media-only content, Digital marketing services, Events",,"Website, Social media",,"Neighborhood(s), City/Town, County/Counties/Regional districts, State/Province","Single-subject news, Investigative news, Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Business, Crime & Justice, Environment, Government, Planning & Development",,"Immigrant communities, LGBTQI communities, Low-income communities, People of color",,"Foundation funding, Small individual gifts, Major individual gifts, Philanthropic funding from major institutions, Other forms of corporate sponsorship",,,"Philanthropic funding from major institutions",,"I don't have a paywall",,Display,,"We are the single largest media outlet in the county delivering real time breaking news from within the community. We are the only outfit with actual feet on the ground.","The Ithaca Voice is a nonprofit digital news site with a mission to improve civic and political understanding in Ithaca and Tompkins County by publishing and sustaining in-depth, educational, rigorous, timely and ethical journalism that all residents can access free of charge online."
"The Last Ambulance",,https://www.thelastambulance.com/,,Yes,Shefford,QC,Canada,"English, French",,"For Profit","For Profit",,1,61-70,0-10,0-10,0-10,"Events, Newsletters, Originally-reported articles, Social media-only content, Video",,"Email, Social media, Website",,Multi-state/Multi-province,"Breaking News, Curation and commentary, In-depth feature and explanatory reporting, Investigative news, Single-subject news",,"Health & Medicine, Politics, Social Justice & Inequality",,"Communities with English as a second language, Indigenous Populations, Low-income communities",,"Reader subscriptions",,,"Reader subscriptions",,,,"I don’t sell any advertising products.",,"I'm very proud to report The Last Ambulance has had an outsized impact on the way emergency prehospital care is delivered across Québec. Our articles have been the catalyst for multiple coroner's inquests, protocol changes, and more equitable access to timely and quality emergency care.","The Last Ambulance is focused on the crisis in emergency prehospital care. We share perspectives from personnel on the frontlines and the communities they serve."
"The Longmont Leader",McClatchy,https://www.longmontleader.com/,,Yes,Longmont,CO,"United States","Bilingual (Spanish & English)",,"For Profit","For Profit",2020,3-5,21-30,21-30,11-20,21-30,"Events, News aggregation, Newsletters, Originally-reported articles",,"Email, Events, Social media, Syndicated feed or content partnerships, Website",,City/Town,"Breaking News, Hyperlocal community comings and goings",,"Crime & Justice, Education & Schools, Events in coverage area, Government, Local News",,"Communities with English as a second language, Ethnic communities, Immigrant communities",,"Events, Foundation funding, Grants, Other forms of corporate sponsorship, Small individual gifts",,,"Small individual gifts",,"I don't have a paywall",,"Branded content (e.g. marketing content with editorial review by the advertiser), Classifieds, Content Sponsorship, Display, Email",,"In our relatively brief time of being in existence, we have made impacts in informing Longmont's citizens about changes to government, schools, business, and elections during the COVID-19 pandemic. We have also made impacts with Longmont's significant Spanish-speaking community by translating critical service journalism and information into Spanish and producing original stories specifically for this audience.","The Longmont Leader is a community news source for residents who care about Longmont’s present and future. We seek to highlight what makes our community special, empower residents to connect with one another, and uncover stories with fair reporting. We aim to be a hub of information for our community, report important news, and provide a forum for Longmont residents to share their diverse viewpoints about local topics. We were founded in May of 2020."
"The Mendocino Voice",,https://mendovoice.com,"Kate Maxwell, Adrian Fernandez Baumann",Yes,Ukiah,CA,"United States",English,,LLC,LLC,2016,2,71-80,0-10,0-10,0-10,"Originally-reported articles, Video, Newsletters",,"Website, Social media, Third party content platforms, Radio",,"County/Counties/Regional districts","Hyperlocal community comings and goings, In-depth feature and explanatory reporting, Breaking News",,"Crime & Justice, Environment, Government",,"Ethnic communities, Immigrant communities, Low-income communities, Indigenous Populations",,"Direct sold advertising, Reader membership, Foundation funding",,,"Direct sold advertising",,"I don't have a paywall",,"Display, Content Sponsorship",,,"We started this online newspaper to fill what we see as an important gap in Mendocino news — with small budgets, print newspaper deadlines, and lack of local control, local news services are having a hard time adapting to the new reality of news created by the internet. We know this intimately because we all used to work at local papers, and radio stations. Though the internet has brought new challenges to news media, it’s also created a host of new opportunities."
"The Milpitas Beat",,https://milpitasbeat.com,"Rhoda Shapiro",No,Milpitas,CA,"United States",English,,"Sole Proprietor/no specific tax status",Partnership,2018,0,0-10,0-10,51-60,31-40,"Originally-reported articles, Video, Podcasts, Newsletters, Printed media, Digital marketing services",,"Website, Social media, Third party content platforms",,City/Town,"Investigative news, Curation and commentary, Hyperlocal community comings and goings, In-depth feature and explanatory reporting",,"Business, Education & Schools, Entertainment & Arts, Events in coverage area, Government",,"Communities with English as a second language, Ethnic communities, Immigrant communities, LGBTQI communities, Low-income communities, People of color",,"Direct sold advertising",,,"Direct sold advertising",,"I don't have a paywall",,Display,,"We've brought community together and shed light upon items happening in our local government that would've otherwise not been written about (for example, our City neglected to collect certain fees it was supposed to over the last few years, and it resulted in losing a lot of money; we wrote about this and alerted people to it.)","The Milpitas Beat is a community-based print and online newspaper located in Milpitas, California. Our vision is to cultivate a more connected, conscious, and vibrant community by providing news coverage that truthfully reflects the expression, ideas, and culture of the people of Milpitas. Our new print edition, which just launched in April 2019, is monthly, and comes out on the third Thursday of every month."
"The Narwhal",,https://thenarwhal.ca,"Non Profit",Yes,Victoria,BC,Canada,English,,"Nonprofit 501c(3) or Canadian nonprofit","Nonprofit 501c(3) or Canadian nonprofit",2018,6-10,71-80,0-10,0-10,0-10,"Newsletters, Originally-reported articles, Podcasts, Video",,"Social media, Third party content platforms, Website",,Multi-state/Multi-province,"Single-subject news",,"Energy, Environment",,"Indigenous Populations",,"Foundation funding, Reader membership",,,"Foundation funding",,"I don't have a paywall",,"I don’t sell any advertising products.",,"Since launching in 2018, The Narwhal has won eight national journalism awards. In March 2020, The Narwhal was featured by the Solutions Journalism Network for its work using conflict mediation-informed reporting techniques to advance solutions to vexing issues. In 2020, The Narwhal broke several major stories in the national press, including revealing the B.C. government knew about major problems at the Site C hydroelectric dam more than a year before telling the public. The Narwhal’s reporting is routinely picked up by The Globe and Mail, CBC and The Toronto Star.","Our team of investigative journalists dives deep to tell stories about Canada’s natural world you can’t find anywhere else.
We have just two rules: 1) Follow the facts. 2) Tell it like it is."
"The Natomas Buzz",,https://natomasbuzz.com,,Yes,Sacramento,CA,"United States",English,,"Sole Proprietor/no specific tax status","Sole Proprietor/no specific tax status",2007,1,,,,,"Originally-reported articles",,"Social media, Syndicated feed or content partnerships, Website",,Neighborhood(s),"Breaking News, Hyperlocal community comings and goings",,"Breaking News, Business, Education & Schools, Local News, Planning & Development",,"Ethnic communities, People of color, Immigrant communities, Low-income communities",,"Direct sold advertising, Reader subscriptions, Small individual gifts",,,"Direct sold advertising",,,,"Display, Social Media",,"The Natomas Buzz provides accurate, timely and useful information specific to a geographic area within a larger metropolis. For example, we recently created a ""Vaccinate Natomas"" list which has been accessed more than 1,700 times within a 24-hour period.","The Natomas Buzz is an independent, online community news site which covers the Natomas Basin.
 "
"The Oaklandside",,https://oaklandside.org,,Yes,Oakland,CA,"United States",English,,"Nonprofit 501c(3) or Canadian nonprofit","Nonprofit 501c(3) or Canadian nonprofit",,"21 or more",71-80,11-20,,11-20,"Events, Newsletters, Originally-reported articles, Social media-only content, Video",,"Email, Social media, Text, Website",,City/Town,"In-depth feature and explanatory reporting",,"Crime & Justice, Education & Schools, Government, Housing, Social Justice & Inequality",,"People of color, Immigrant communities, LGBTQI communities, Low-income communities",,"Grants, Major individual gifts, Other forms of corporate sponsorship, Philanthropic funding from major institutions, Reader membership",,,"Major individual gifts",,,,"Event sponsorship, Display, Email",,"Even though it's just over a year old, The Oaklandside has had a profound effect on providing communities in Oakland with vital information to help understand and respond to policy, get the most out of their city, and learn about key issues in the city.","We’re a small but mighty team of local journalists working for Oakland. We amplify community voices, share the power of real information, and investigate systems, not just symptoms."
"The Reader",,https://thereader.com,"John Heaston",No,Omaha,NE,"United States",English,,"S Corp","S Corp",1994,6-10,41-50,31-40,21-30,11-20,"Digital marketing services, Events, Newsletters, Originally-reported articles, Printed media, Social media-only content, Video",,"Aggregation, Social media, Third party content platforms, Website",,City/Town,"In-depth feature and explanatory reporting, Investigative news",,"Government, Immigration, Politics, Race & Ethnicity, Social Justice & Inequality",,"Communities with English as a second language, Ethnic communities, People of color, Immigrant communities, LGBTQI communities, Low-income communities",,"Direct sold advertising, Other Marketing Services",,,"Other Marketing Services",,,,"Branded content (e.g. marketing content with editorial review by the advertiser), Content Sponsorship, Display, Video",,"We strive to provide news not deeply covered by the mainstream media with a focus on underserved communities, and increasingly, solutions-oriented coverage. We've tipped elections with our endorsements, run corrupt public officials out office, restored voting access, exposed practices that prey on the poor and just last week were the first in our state to cover the shortage of reagents limiting COVID-19 testing capabilities. 
We have been on the forefront of Omaha's cultural explosion over the last 25 years. We're a leader in our city and state in collaborative coverage, not only with El Perico (we own), but also the local Hispanic and Black press, community radio, journalism start-ups and local TV.
After 26 years, where to start? Our collaborative journalism leadership has had a direct impact on progressive change in our community in a multitude of ways. One prime example is the time we helped facilitate a Brown-Black alliance to fight a draconian closing of polling places ahead of the 2012 election. Our investigative reporting and data analysis, shared with the local ABC affiliate, helped these communities fight to restore more than a 1/2 of polling places that were to be closed. From beating the New York Times and The Economist on the multi-path appeals-court tactics of local immigration ordinances driven by nativist Kris Kobach, to tipping the balance in elections to stop a nativist mayor, to highlighting inequities in the justice system that allow companies to exploit debts of the poor built on ProPublica coverage, we have been instrumental to building a progressive dialogue in our community. 
Prior to the pandemic, having brought the Solutions Journalism Network to introduce solutions journalism to media ranging from community and rural radio, to the daily newspaper and local network affiliates, we were poised to work with local foundations to bring Impact Media Funders to Omaha to help build a framework for local, diverse media support, built around progressive issues-focused coverage. 
We have worked closely over the years to cover and provide offline support to the efforts of community organizing groups like the Heartland Workers Center to help drive double digit increases in voter engagement in targeted Black and Hispanic precincts. With hundreds of job fairs under our belt, thousands of local HR contacts and tens of thousands of registered job-seekers on OmahaJobs.com, we’re best positioned to bring new skills and to help transform the local economy with an empowered workforce.","The Reader is Nebraska’s only nationally-recognized alternative newsmonthly, part of the Pioneer Publishing family which also includes El Perico and OmahaJobs.com. Pioneer Publishing is a private, family-held business consisting of 6 media channels — two print, four online — with an established market share in Omaha’s fastest-growing and active demographic and advertising segments and one of the most established, local freelance content provider networks."
